postcode,price
ST36DT,67798.46064
ST36QT,50241.06036
ST52NQ,90581.02051
ST50BX,82357.48951
NP76EG,86773.89248
BD208TS,73882.1786
DH47AA,77464.29243
DH47LX,79220.61466
NG69JQ,93655.96875
OL127DB,59665.59513
S431EF,54031.99172
M228JN,75181.74348
DN145UE,79899.37001
M244PN,97379.82807
M241RE,88180.859
S87PP,84522.93797
NN180QJ,93382.57189
CT91QX,71246.74097
LE51HQ,73135.74226
TS253HB,72360.03024
TS253EU,81590.99865
TS255PH,90515.63912
B440SX,40107.21833
DN40LY,98988.62176
NP115BW,80542.36842
RG91HE,61803.80242
WN71EE,75922.71715
BB53SY,42684.85601
HX39DF,98984.008
NE638DT,62843.88728
NE638PL,74790.85095
BD196DA,75151.70155
CH423TD,86802.38718
S417DL,96313.83367
SA108HW,85347.68386
TQ122QN,68349.21085
WF14PW,92475.37908
HU165RW,76775.2273
PR42JD,89752.29218
M437GA,46550
DH45EQ,89250.53
NE95PT,76251.48262
L135UR,51137.41989
SR85PR,94179.79455
LA45EZ,74249.41998
LS115JR,94850.66885
WF129JZ,97757.96419
LA31HF,90232.08369
WF133EA,96073.18324
B774PR,87567.65745
SR77QF,89212.1941
B324NN,77765.99835
CF448LB,89946.44168
NE325RZ,99189.98556
S50AX,70716.27293
S56QE,73133.24082
CF465HY,38638.07461
HU74NX,57175.579
NE323RF,70790.11235
WF157DH,81919.68695
SK38LT,82000.72354
PR23ZJ,73979.94443
S433QL,93522.56139
CW69LT,68468.83333
WV46LZ,92666.66667
LN86FA,97114.28571
M98GJ,62388.32235
DN145YN,99349.60003
SR84JS,90160.41109
TS176SH,63366.63636
CA243LT,85000
NG36JB,83443.94754
DY32BH,96000
OL115HB,98719.81881
TS117BD,79217.4096
CV33AJ,64217.95362
TF15DN,66631.65201
LS103QH,54079.72497
M245NJ,93369.74362
S651RL,52793.16117
BD80EA,78266.21823
CV21HW,56882.43076
L66BS,99539.1515
M144ND,93497.83561
NE387QN,78573.7292
BS231QR,79819.42709
HX15RX,69069.27979
NP197FX,44944.5991
NG181ND,95025.59692
WF95AG,34639.96131
SR52AU,54200.51126
SA311JG,40531.21117
WA29EW,48820.24147
NE63TD,69950
CH419EH,68784.51515
BB101BL,39558.75857
DE78SH,76835.15189
NE388DE,43344.53966
LL413RY,98300.16981
WA94LY,90873.14679
HP226PJ,82500
NE61RG,31409.41829
L114RU,50530.32211
CF481NH,74994.41118
WV111QW,45604.89965
M246FU,89405.63227
TS66SG,52060.21164
B709XH,79917.83895
CH413RL,60344.79419
TR138TH,50000
CA288ER,66975.45021
DL12NA,63846.74347
DL11SX,60299.70217
S738RS,78500
CF311EU,68246.21616
DN173BY,99765.12046
LS141DR,84442.37616
NN180SS,69926.39739
WF169PA,73612.69959
WS108BB,49106.52871
CF336EY,61530.33769
HD16BG,84732.90999
OL12DY,36750
SY112SG,52051.48064
LS96EH,51218.09322
DN124HT,65813.2543
WF101EE,86525.75152
DL41HH,38000
LS103EQ,81467.27557
DN156TN,95190.24002
WD180PA,54894.57896
CF453EG,18000
GL12BA,99007.60703
HU94QG,79261.22868
M347NU,24058.96801
NE425AE,96493.88989
NG347LA,96500.0268
OL66HR,81775.9486
OL68LJ,79851.09489
BD228PH,83847.85006
DH99AQ,67977.03054
DN104RN,98016.5487
DN208PZ,99742.65972
DN329NH,83182.04061
DN320JX,69556.34595
FY12RQ,86277.92644
FY15NF,82593.9938
FY76DP,89777.9333
M389LZ,88117.57749
M389RQ,55393.02084
NP199FQ,94704.36031
NP199HR,83353.84585
WN13JD,58347.80517
WN13UG,92017.61996
M389NS,63487.17347
BB99RQ,42585.64115
BB97RH,37362.88669
DE231RJ,98628.42218
DN67TL,83765.7879
ME13AL,99212.98822
OL82AN,61416.81695
OL84EA,77339.74319
OL83LF,77135.98769
WA119BH,65412.21946
WA110SL,73907.50713
DE159HY,71685.81326
DE74GW,94754.67462
HD22NR,92091.08678
S22FF,78381.91127
SA91YJ,85967.37527
ST29LQ,78697.55023
WF82BU,97924.24553
WF84SE,63023.10918
S124HQ,98417.4036
S124RT,99482.44327
S124EH,91123.16248
SA92JN,78459.3317
M147NQ,86951.70076
NG84ER,88461.44676
PR14JJ,78737.8798
S636LU,99219.54231
S639DS,98119.2103
S630DU,56172.12645
CF838GX,90025.76149
CO151TW,91703.40507
ME159JF,70683.19482
NP237QY,83920.68474
SA409YW,91634.25345
SA409QT,89043.39444
SK30DP,96598.704
ST68LA,73907.38623
ST64EZ,86933.93444
ST61EW,68194.85171
TS268AN,47950.98436
WN74QT,83917.82584
WN74SH,83910.73996
WV113PP,99161.87529
BD211AX,67101.84915
CA73AF,92879.23345
DN401NQ,77392.8074
DN401DL,71785.12275
DY139EE,91739.55457
FY43BL,71859.95154
FY43JG,94685.26933
HU35PB,56492.47376
HU31RP,80733.61374
HU31NX,78219.36619
L91BG,66917.7222
LA141UY,71211.26963
LN60LU,97143.29656
S614RP,97544.2517
SA181TP,89201.58909
SA181SE,66721.81299
SA181AF,74355.81103
SA40UE,91904.9149
SA48RW,93377.48092
BL40AR,95030.0306
CF336AA,93868.25372
SA84HJ,95745.97762
WA101LE,85608.43296
WS100LA,77828.52856
WV148UH,96397.49563
WA106PP,80053.4658
WA106TY,74454.62755
FY54BQ,99413.95635
HU192TG,95420.46864
LS134TP,80480.65161
